"","day","v1","v2","v3","v4","v5","v6"
"100",2010-04-10,64886,320196,513643,226915,775888,195703
"101",2010-04-11,64891,320220,513680,226932,775945,195718
"102",2010-04-12,64896,320243,513718,226949,776002,195732
"103",2010-04-13,64901,320267,513756,226965,776059,195746
"104",2010-04-14,64905,320290,513793,226982,776116,195761
"105",2010-04-15,64910,320314,513831,226999,776173,195775
"106",2010-04-16,64915,320337,513869,227015,776230,195789
"107",2010-04-17,64920,320361,513907,227032,776287,195804
"108",2010-04-18,64925,320384,513944,227049,776344,195818
"109",2010-04-19,64929,320408,513982,227065,776401,195833
"110",2010-04-20,64934,320431,514020,227082,776458,195847
"111",2010-04-21,64939,320455,514057,227099,776515,195861
"112",2010-04-22,64944,320478,514095,227115,776572,195876
"113",2010-04-23,64948,320502,514133,227132,776629,195890
"114",2010-04-24,64953,320525,514171,227149,776686,195904
"115",2010-04-25,64958,320549,514208,227165,776743,195919
"116",2010-04-26,64963,320572,514246,227182,776800,195933
"117",2010-04-27,64967,320596,514284,227199,776857,195948
"118",2010-04-28,64972,320619,514321,227215,776914,195962
"119",2010-04-29,64977,320643,514359,227232,776971,195976
"120",2010-04-30,64982,320666,514397,227249,777028,195991
"121",2010-05-01,64986,320690,514435,227265,777085,196005
"122",2010-05-02,64991,320714,514472,227282,777142,196019
"123",2010-05-03,64996,320737,514510,227299,777199,196034
"124",2010-05-04,65001,320761,514548,227315,777256,196048
"125",2010-05-05,65006,320784,514585,227332,777313,196063
"126",2010-05-06,65010,320808,514623,227349,777370,196077
"127",2010-05-07,65015,320831,514661,227365,777427,196091
"128",2010-05-08,65020,320855,514699,227382,777483,196106
"129",2010-05-09,65025,320878,514736,227399,777540,196120
"130",2010-05-10,65029,320902,514774,227415,777597,196134
"131",2010-05-11,65034,320925,514812,227432,777654,196149
"132",2010-05-12,65039,320949,514849,227449,777711,196163
"133",2010-05-13,65044,320972,514887,227465,777768,196178
"134",2010-05-14,65048,320996,514925,227482,777825,196192
"135",2010-05-15,65053,321019,514963,227499,777882,196206
"136",2010-05-16,65058,321043,515000,227515,777939,196221
"137",2010-05-17,65063,321066,515038,227532,777996,196235
"138",2010-05-18,65067,321090,515076,227548,778053,196249
"139",2010-05-19,65072,321113,515113,227565,778110,196264
"140",2010-05-20,65077,321137,515151,227582,778167,196278
"141",2010-05-21,65082,321160,515189,227598,778224,196293
"142",2010-05-22,65087,321184,515227,227615,778281,196307
"143",2010-05-23,65091,321207,515264,227632,778338,196321
"144",2010-05-24,65096,321231,515302,227648,778395,196336
"145",2010-05-25,65101,321254,515340,227665,778452,196350
"146",2010-05-26,65106,321278,515377,227682,778509,196364
"147",2010-05-27,65110,321301,515415,227698,778566,196379
"148",2010-05-28,65115,321325,515453,227715,778623,196393
"149",2010-05-29,65120,321348,515491,227732,778680,196408
"150",2010-05-30,65125,321372,515528,227748,778737,196422
"151",2010-05-31,65129,321395,515566,227765,778794,196436
"152",2010-06-01,65134,321419,515604,227782,778851,196451
"153",2010-06-02,65139,321442,515641,227798,778908,196465
"154",2010-06-03,65144,321466,515679,227815,778965,196479
"155",2010-06-04,65148,321489,515717,227832,779022,196494
"156",2010-06-05,65153,321513,515755,227848,779079,196508
"157",2010-06-06,65158,321536,515792,227865,779136,196522
